task,status,method,variant,size,distribution,decode,seed,dataset,checkpoint,raw_output,summary_output,command,notes,timestamp
audit,completed,all,all,,,,,,,,,manual AutoDL and repository audit,remote credentials not stored,2026-06-24
remote_access,completed,all,all,,,,,,,,,AutoDL SSH via external user-provided credential,no credential written to repo,2026-06-24
unified_test_sets,completed,all,all,10;20;40;80,clustered;uniform,,10000,data/pdp/unified,,,,scripts/build_unified_test_sets.py,eight 10000-instance shared test sets present,2026-06-24
heter_train,completed,Heter,baseline,10;20;40;80,uniform,,1234,data/pdp/validation,checkpoints/heter,,,bash scripts/run_heter_main_grid.sh,one completed size-matched checkpoint per required size; reuse only,2026-06-24
heter_main_eval,completed,Heter,baseline,10;20;40;80,clustered;uniform,Greedy;Sampling-1280;Sampling-12800,10000,data/pdp/unified,checkpoints/heter,results/raw/heter,results/summary/heter_main_results.csv,bash scripts/validate_heter_main_grid.sh,24 validated raw files with IDs 0..9999,2026-06-24
heter_profiling,completed,Heter,baseline,10;20;40;80,clustered;uniform,Greedy;Sampling-1280;Sampling-12800,10000,data/pdp/unified,checkpoints/heter,results/profiling/heter_runtime_memory.csv,results/profiling/heter_runtime_memory.tex,bash scripts/run_heter_profile_grid.sh,"24 synchronized profiling rows with warmup, memory, latency, throughput, p95, and total runtime",2026-06-24
heter_li_lim_relaxed,completed,Heter,external,variable,li_lim_relaxed,Greedy,,data/li_lim_relaxed,checkpoints/heter,results/raw/heter_li_lim_relaxed,results/summary/heter_li_lim_relaxed.csv,bash scripts/run_heter_li_lim_relaxed.sh,116 relaxed local Li&Lim instances evaluated; grouped as 100-task and 200-task relaxed PDP,2026-06-24
heter_mechanism,completed,Heter,baseline,10;20;40;80,clustered;uniform,Greedy;Sampling-1280;Sampling-12800,10000,data/pdp/unified,checkpoints/heter,results/stats/heter_route_metrics,results/stats/heter_route_metrics_summary.csv,bash scripts/run_heter_mechanism_analysis.sh,Heter route metrics complete for 24 files,2026-06-24
heter_route_visualization,completed,CAADRL;Heter,full;baseline,40,clustered,Greedy,10000,data/pdp/unified/pdp40_test_clustered_std0.1_seed10000_n10000.pkl,checkpoints/ablation;checkpoints/heter,results/raw/ablation/ablation_full_pdp40_clustered_greedy.csv;results/raw/heter/heter_pdp40_clustered_greedy.csv,figures/route_visualization_caadr_vs_heter.png;figures/route_visualization_caadr_vs_heter.pdf,bash scripts/run_heter_mechanism_analysis.sh,aligned route visualization for instance 0,2026-06-24
paired_caadrl_vs_heter,completed,CAADRL;Heter,full;baseline,20;40;80,clustered,Greedy;Sampling-1280,10000,data/pdp/unified,checkpoints/ablation;checkpoints/heter,results/stats/paired_caadrl_vs_heter_pdp*_clustered_*.csv,results/stats/paired_caadrl_vs_heter_summary.csv,python scripts/paired_statistics.py,six aligned paired-statistics rows; other CAADRL/NCS comparisons wait for matching raw outputs,2026-06-24
ablation,completed,CAADRL,full;no_enc_cluster;cluster_only;no_dec_cluster;avg_fusion;no_pomo,20;40;80,clustered,Greedy;Sampling-1280,10000,data/pdp/unified,checkpoints/ablation,results/raw/ablation,results/summary/ablation_results.csv,bash scripts/run_ablation_grid.sh,36 validated raw files and checkpoint-800 for each variant/size,2026-06-24
ablation_figure,completed,CAADRL,six core variants,20;40;80,clustered,Greedy,10000,results/summary/ablation_results.csv,,figures/ablation_barplot.png;figures/ablation_barplot.pdf,figures/ablation_barplot.png;figures/ablation_barplot.pdf,python scripts/plot_ablation.py,bar plot generated from completed ablation summary,2026-06-24
manuscript_response,completed,all,all,,,,,main.tex;responseletter.tex,,,,manual edit,"updated Heter rerun, paired stats, route visualization, Li&Lim, profiling, and ablation responses",2026-06-24
secret_scan,completed,all,all,,,,,,,,,grep -R credential patterns,credential and common token markers absent from worktree scan,2026-06-24
